,period,actual,predicted,sector,feild
112,11-2002,33644,34319.387,Industrial,Customer
117,12-2002,31840,35593.797,Industrial,Customer
122,01-2003,34532,35558.562,Industrial,Customer
127,02-2003,34163,34756.195,Industrial,Customer
132,03-2003,34764,35752.664,Industrial,Customer
137,04-2003,36273,36261.723,Industrial,Customer
142,05-2003,35989,35026.125,Industrial,Customer
147,06-2003,36471,33703.03,Industrial,Customer
152,07-2003,35777,34028.793,Industrial,Customer
157,08-2003,38192,33546.258,Industrial,Customer
162,09-2003,35574,33576.28,Industrial,Customer
167,10-2003,36310,35084.492,Industrial,Customer
172,11-2003,35386,35551.133,Industrial,Customer
177,12-2003,34110,35271.32,Industrial,Customer
182,01-2004,33820,36159.45,Industrial,Customer
187,02-2004,34716,36224.277,Industrial,Customer
192,03-2004,36375,34439.938,Industrial,Customer
197,04-2004,34935,35847.46,Industrial,Customer
202,05-2004,38213,35809.75,Industrial,Customer
207,06-2004,37112,35377.695,Industrial,Customer
212,07-2004,36753,34620.305,Industrial,Customer
217,08-2004,37298,33694.727,Industrial,Customer
222,09-2004,37303,33293.848,Industrial,Customer
227,10-2004,36789,33968.133,Industrial,Customer
232,11-2004,36820,34791.332,Industrial,Customer
237,12-2004,35422,35084.887,Industrial,Customer
242,01-2005,34388,35521.375,Industrial,Customer
247,02-2005,33571,36217.867,Industrial,Customer
252,03-2005,35334,34932.883,Industrial,Customer
257,04-2005,34330,35689.508,Industrial,Customer
262,05-2005,36583,35761.52,Industrial,Customer
267,06-2005,37403,33622.605,Industrial,Customer
272,07-2005,35759,33215.047,Industrial,Customer
277,08-2005,37788,34224.008,Industrial,Customer
282,09-2005,36900,34358.387,Industrial,Customer
287,10-2005,36413,34280.938,Industrial,Customer
292,11-2005,34602,34999.973,Industrial,Customer
297,12-2005,35510,34567.527,Industrial,Customer
302,01-2006,34229,34089.977,Industrial,Customer
307,02-2006,34260,35544.586,Industrial,Customer
312,03-2006,35673,35688.723,Industrial,Customer
317,04-2006,34367,35585.363,Industrial,Customer
322,05-2006,35071,34104.684,Industrial,Customer
327,06-2006,35369,32941.145,Industrial,Customer
332,07-2006,36318,33361.918,Industrial,Customer
337,08-2006,36561,33453.8,Industrial,Customer
342,09-2006,35733,33969.176,Industrial,Customer
347,10-2006,35314,34529.57,Industrial,Customer
352,11-2006,33558,34805.79,Industrial,Customer
357,12-2006,32900,35717.87,Industrial,Customer
362,01-2007,34500,35522.184,Industrial,Customer
367,02-2007,33367,35234.348,Industrial,Customer
372,03-2007,35428,35244.273,Industrial,Customer
377,04-2007,35670,35941.203,Industrial,Customer
382,05-2007,36846,35411.52,Industrial,Customer
387,06-2007,36562,34360.26,Industrial,Customer
392,07-2007,36084,33620.812,Industrial,Customer
397,08-2007,37622,33402.926,Industrial,Customer
402,09-2007,35776,34926.93,Industrial,Customer
407,10-2007,37037,35129.16,Industrial,Customer
412,11-2007,34783,34484.09,Industrial,Customer
417,12-2007,34192,34385.473,Industrial,Customer
422,01-2008,35351,35170.582,Industrial,Customer
427,02-2008,35081,35672.598,Industrial,Customer
432,03-2008,35605,35568.402,Industrial,Customer
437,04-2008,34692,35068.562,Industrial,Customer
442,05-2008,35724,34345.02,Industrial,Customer
447,06-2008,35739,32916.184,Industrial,Customer
452,07-2008,36438,32986.75,Industrial,Customer
457,08-2008,35975,32971.91,Industrial,Customer
462,09-2008,35804,32419.066,Industrial,Customer
467,10-2008,35267,31483.639,Industrial,Customer
472,11-2008,32230,31878.754,Industrial,Customer
477,12-2008,31478,31601.572,Industrial,Customer
482,01-2009,30305,31385.61,Industrial,Customer
487,02-2009,29422,32316.521,Industrial,Customer
492,03-2009,30664,31813.75,Industrial,Customer
497,04-2009,29256,32913.723,Industrial,Customer
502,05-2009,29695,32940.086,Industrial,Customer
507,06-2009,30036,31880.588,Industrial,Customer
512,07-2009,30079,33129.234,Industrial,Customer
517,08-2009,32500,32218.287,Industrial,Customer
522,09-2009,31806,33107.418,Industrial,Customer
527,10-2009,32363,31882.824,Industrial,Customer
532,11-2009,30138,32888.33,Industrial,Customer
537,12-2009,31355,33511.633,Industrial,Customer
542,01-2010,31336,34075.535,Industrial,Customer
547,02-2010,31247,34206.58,Industrial,Customer
552,03-2010,32159,33918.492,Industrial,Customer
557,04-2010,32056,33353.117,Industrial,Customer
562,05-2010,33972,32338.197,Industrial,Customer
567,06-2010,33869,32764.424,Industrial,Customer
572,07-2010,34339,33382.97,Industrial,Customer
577,08-2010,35707,33371.754,Industrial,Customer
582,09-2010,32534,33015.133,Industrial,Customer
587,10-2010,33309,32325.416,Industrial,Customer
592,11-2010,32056,33469.055,Industrial,Customer
597,12-2010,33645,33756.355,Industrial,Customer
602,01-2011,32805,32741.53,Industrial,Customer
607,02-2011,30958,34044.094,Industrial,Customer
612,03-2011,34617,35037.92,Industrial,Customer
617,04-2011,32406,34574.25,Industrial,Customer
622,05-2011,33462,32905.02,Industrial,Customer
627,06-2011,33657,32472.021,Industrial,Customer
632,07-2011,35398,33172.617,Industrial,Customer
637,08-2011,35350,33256.586,Industrial,Customer
642,09-2011,34668,33408.734,Industrial,Customer
647,10-2011,34531,33877.227,Industrial,Customer
652,11-2011,32821,33740.895,Industrial,Customer
657,12-2011,32418,34099.562,Industrial,Customer
662,01-2012,33148,34386.523,Industrial,Customer
667,02-2012,33283,34506.773,Industrial,Customer
672,03-2012,33822,35090.0,Industrial,Customer
677,04-2012,33918,33634.926,Industrial,Customer
682,05-2012,34988,32225.44,Industrial,Customer
687,06-2012,34264,32989.21,Industrial,Customer
692,07-2012,35727,33347.25,Industrial,Customer
697,08-2012,35814,32310.256,Industrial,Customer
702,09-2012,32885,33116.61,Industrial,Customer
707,10-2012,33564,33098.637,Industrial,Customer
712,11-2012,31761,33024.617,Industrial,Customer
717,12-2012,31232,33160.57,Industrial,Customer
722,01-2013,33379,33890.67,Industrial,Customer
727,02-2013,32030,33360.945,Industrial,Customer
732,03-2013,33132,33469.77,Industrial,Customer
737,04-2013,32436,33198.516,Industrial,Customer
742,05-2013,34350,32649.193,Industrial,Customer
747,06-2013,33163,32602.18,Industrial,Customer
752,07-2013,33962,33219.64,Industrial,Customer
757,08-2013,34842,32500.549,Industrial,Customer
762,09-2013,32608,33066.195,Industrial,Customer
767,10-2013,33177,32694.924,Industrial,Customer
772,11-2013,31553,33124.434,Industrial,Customer
777,12-2013,31516,33469.793,Industrial,Customer
782,01-2014,33202,33917.54,Industrial,Customer
787,02-2014,31219,34587.22,Industrial,Customer
792,03-2014,33480,34153.32,Industrial,Customer
797,04-2014,31738,33485.69,Industrial,Customer
802,05-2014,34260,32769.05,Industrial,Customer
807,06-2014,34243,32806.168,Industrial,Customer
812,07-2014,34646,33245.05,Industrial,Customer
817,08-2014,35622,32903.758,Industrial,Customer
822,09-2014,33551,33110.52,Industrial,Customer
827,10-2014,34047,32961.773,Industrial,Customer
832,11-2014,32773,33064.996,Industrial,Customer
837,12-2014,32188,33398.652,Industrial,Customer
842,01-2015,32675,33671.336,Industrial,Customer
847,02-2015,31559,33759.324,Industrial,Customer
852,03-2015,33316,33304.137,Industrial,Customer
857,04-2015,31791,32855.406,Industrial,Customer
862,05-2015,33863,32861.098,Industrial,Customer
867,06-2015,33842,32519.791,Industrial,Customer
872,07-2015,33672,32725.34,Industrial,Customer
877,08-2015,34253,32545.105,Industrial,Customer
882,09-2015,33314,32865.496,Industrial,Customer
887,10-2015,32593,32418.848,Industrial,Customer
892,11-2015,30750,32760.094,Industrial,Customer
897,12-2015,31066,32988.06,Industrial,Customer
902,01-2016,31695,33147.914,Industrial,Customer
907,02-2016,31520,34049.797,Industrial,Customer
912,03-2016,32817,34725.656,Industrial,Customer
917,04-2016,31319,33946.465,Industrial,Customer
922,05-2016,32797,32018.17,Industrial,Customer
927,06-2016,32916,32433.244,Industrial,Customer
932,07-2016,34657,33320.695,Industrial,Customer
937,08-2016,35537,32173.951,Industrial,Customer
942,09-2016,32785,32225.195,Industrial,Customer
947,10-2016,32062,31871.191,Industrial,Customer
952,11-2016,30981,32534.652,Industrial,Customer
957,12-2016,31524,32976.88,Industrial,Customer
997,08-2017,34274,32311.535,Industrial,Customer
1002,09-2017,32713,32549.246,Industrial,Customer
1007,10-2017,32161,32110.158,Industrial,Customer
1012,11-2017,30832,32633.75,Industrial,Customer
1017,12-2017,31123,33518.703,Industrial,Customer
1022,01-2018,31646,33655.625,Industrial,Customer
1027,02-2018,30368,33984.4,Industrial,Customer
1032,03-2018,32801,33711.895,Industrial,Customer
1037,04-2018,31014,33045.02,Industrial,Customer
1042,05-2018,33977,32416.03,Industrial,Customer
1047,06-2018,33660,32593.293,Industrial,Customer
1052,07-2018,34113,33300.547,Industrial,Customer
1057,08-2018,35522,32227.969,Industrial,Customer
1062,09-2018,32637,32969.96,Industrial,Customer
1067,10-2018,32938,32098.709,Industrial,Customer
1072,11-2018,31608,32444.678,Industrial,Customer
1077,12-2018,31427,33461.562,Industrial,Customer
1082,01-2019,32470,32348.81,Industrial,Customer
1087,02-2019,30083,33317.58,Industrial,Customer
1092,03-2019,32353,34281.473,Industrial,Customer
1097,04-2019,31146,33360.535,Industrial,Customer
1102,05-2019,32602,32139.951,Industrial,Customer
1107,06-2019,32082,32575.1,Industrial,Customer
1112,07-2019,34269,32572.314,Industrial,Customer
1117,08-2019,34352,31875.752,Industrial,Customer
1122,09-2019,32578,32211.94,Industrial,Customer
1127,10-2019,31826,31824.15,Industrial,Customer
1132,11-2019,30505,31408.81,Industrial,Customer
1137,12-2019,30333,31228.025,Industrial,Customer
1142,01-2020,30842,31248.852,Industrial,Customer
1147,02-2020,30517,32748.338,Industrial,Customer
1152,03-2020,30864,31437.0,Industrial,Customer
1157,04-2020,24972,31938.596,Industrial,Customer
1162,05-2020,25740,32102.186,Industrial,Customer
1167,06-2020,28669,32282.36,Industrial,Customer
1172,07-2020,31480,32040.438,Industrial,Customer
1177,08-2020,31982,31375.14,Industrial,Customer
1182,09-2020,30039,31996.299,Industrial,Customer
1187,10-2020,30855,31388.635,Industrial,Customer
1192,11-2020,29093,31458.008,Industrial,Customer
1197,12-2020,29446,32097.785,Industrial,Customer
1202,01-2021,29749,31824.826,Industrial,Customer
1207,02-2021,28610,33209.06,Industrial,Customer
1212,03-2021,30288,33089.773,Industrial,Customer
1217,04-2021,29388,32663.482,Industrial,Customer
1222,05-2021,31260,32322.748,Industrial,Customer
1227,06-2021,31704,32279.71,Industrial,Customer
1232,07-2021,32498,32824.94,Industrial,Customer
1237,08-2021,33446,31576.766,Industrial,Customer
1242,09-2021,30939,32052.781,Industrial,Customer
1247,10-2021,31134,31784.992,Industrial,Customer
1252,11-2021,30367,31581.74,Industrial,Customer
1257,12-2021,30049,32944.574,Industrial,Customer
1262,01-2022,31160,31746.057,Industrial,Customer
1267,02-2022,28831,32908.17,Industrial,Customer
1272,03-2022,31610,33161.023,Industrial,Customer
1277,04-2022,29954,32822.254,Industrial,Customer
1282,05-2022,31258,32643.953,Industrial,Customer
1287,06-2022,32474,31686.693,Industrial,Customer
1292,07-2022,32380,32709.352,Industrial,Customer
1297,08-2022,33674,31574.13,Industrial,Customer
1302,09-2022,31133,31686.51,Industrial,Customer
1307,10-2022,30526,31501.12,Industrial,Customer
1312,11-2022,29541,31655.533,Industrial,Customer
1317,12-2022,30238,32286.396,Industrial,Customer
1322,01-2023,30383,31477.45,Industrial,Customer
1327,02-2023,28238,33252.105,Industrial,Customer
1332,03-2023,31272,33129.207,Industrial,Customer
1337,04-2023,29355,32651.19,Industrial,Customer
1342,05-2023,30875,32065.621,Industrial,Customer
1347,06-2023,31518,32645.129,Industrial,Customer
1352,07-2023,33019,32306.348,Industrial,Customer
1357,08-2023,32941,31528.822,Industrial,Customer
1362,09-2023,30764,31964.342,Industrial,Customer
1367,10-2023,30942,31870.078,Industrial,Customer
1372,11-2023,30208,31684.482,Industrial,Customer
1377,12-2023,29828,32715.496,Industrial,Customer
1382,01-2024,30573,32023.926,Industrial,Customer
1387,02-2024,29318,33236.652,Industrial,Customer
0,10-2024,,37390.758,Industrial,Customer
1,11-2024,,32458.785,Industrial,Customer
2,12-2024,,34151.715,Industrial,Customer
3,01-2025,,34151.715,Industrial,Customer
4,02-2025,,34151.715,Industrial,Customer
5,03-2025,,31130.348,Industrial,Customer
6,04-2025,,32862.055,Industrial,Customer
7,05-2025,,32725.129,Industrial,Customer
8,06-2025,,33128.26,Industrial,Customer
9,07-2025,,33495.75,Industrial,Customer
10,08-2025,,33213.668,Industrial,Customer
11,09-2025,,33006.566,Industrial,Customer
12,10-2025,,33056.133,Industrial,Customer
13,11-2025,,32883.727,Industrial,Customer
14,12-2025,,33020.34,Industrial,Customer
15,01-2026,,33122.824,Industrial,Customer
16,02-2026,,33144.227,Industrial,Customer
17,03-2026,,33184.926,Industrial,Customer
18,04-2026,,33176.754,Industrial,Customer
19,05-2026,,33113.5,Industrial,Customer
20,06-2026,,33098.418,Industrial,Customer
21,07-2026,,33081.668,Industrial,Customer
22,08-2026,,33083.7,Industrial,Customer
23,09-2026,,33106.29,Industrial,Customer
124,01-2003,89.49043,85.33155,Transportation,Sales
129,02-2003,80.23152,90.10421,Transportation,Sales
134,03-2003,92.73559,80.846436,Transportation,Sales
139,04-2003,73.24304,87.481255,Transportation,Sales
144,05-2003,87.16083,86.59372,Transportation,Sales
149,06-2003,87.95963,86.78023,Transportation,Sales
154,07-2003,79.6178,90.16947,Transportation,Sales
159,08-2003,86.97416,90.75159,Transportation,Sales
164,09-2003,89.26119,89.76221,Transportation,Sales
169,10-2003,88.89143,94.180115,Transportation,Sales
174,11-2003,75.37955,83.88248,Transportation,Sales
179,12-2003,85.57485000000001,88.00712,Transportation,Sales
184,01-2004,108.24282,100.47931,Transportation,Sales
189,02-2004,128.82546,88.01673,Transportation,Sales
194,03-2004,89.79073,75.975,Transportation,Sales
199,04-2004,72.70954,82.3867,Transportation,Sales
204,05-2004,81.9981,78.63286,Transportation,Sales
209,06-2004,67.30723,87.77262,Transportation,Sales
214,07-2004,83.80828,81.66177,Transportation,Sales
219,08-2004,87.3155,92.24955,Transportation,Sales
224,09-2004,73.9305,99.68444,Transportation,Sales
229,10-2004,79.9201,97.89582,Transportation,Sales
234,11-2004,73.56354999999999,84.94754,Transportation,Sales
239,12-2004,80.5162,92.97529,Transportation,Sales
244,01-2005,152.82532,92.16552,Transportation,Sales
249,02-2005,117.49403,87.47973,Transportation,Sales
254,03-2005,70.15698,99.67738,Transportation,Sales
259,04-2005,98.46358,97.971436,Transportation,Sales
264,05-2005,76.59266,90.08124,Transportation,Sales
269,06-2005,92.92186,97.46055,Transportation,Sales
274,07-2005,41.60256,96.10667,Transportation,Sales
279,08-2005,142.01214,94.57135,Transportation,Sales
284,09-2005,98.48662,98.72613,Transportation,Sales
289,10-2005,98.12323,99.01129,Transportation,Sales
294,11-2005,90.64894,90.60271,Transportation,Sales
299,12-2005,117.28005999999999,98.11936,Transportation,Sales
304,01-2006,126.00496,103.23463,Transportation,Sales
309,02-2006,94.88608,100.56476,Transportation,Sales
314,03-2006,110.31752,96.32232,Transportation,Sales
319,04-2006,90.19655,94.578575,Transportation,Sales
324,05-2006,90.83164,95.86121,Transportation,Sales
329,06-2006,86.89121,98.14001,Transportation,Sales
334,07-2006,91.47366,102.61815,Transportation,Sales
339,08-2006,99.07096,94.00179,Transportation,Sales
344,09-2006,97.60982,100.08349,Transportation,Sales
349,10-2006,99.45783,100.02786,Transportation,Sales
354,11-2006,74.96970999999999,98.320045,Transportation,Sales
359,12-2006,107.13806,91.923294,Transportation,Sales
364,01-2007,164.37329,101.0595,Transportation,Sales
369,02-2007,94.28208,100.004234,Transportation,Sales
374,03-2007,106.92251,96.66727,Transportation,Sales
379,04-2007,118.86116,87.90988,Transportation,Sales
384,05-2007,60.76006,90.84451,Transportation,Sales
389,06-2007,92.11742000000001,100.88241,Transportation,Sales
394,07-2007,100.45172,101.929825,Transportation,Sales
399,08-2007,100.01673,95.737076,Transportation,Sales
404,09-2007,96.52703,99.98039,Transportation,Sales
409,10-2007,88.47699,103.09355,Transportation,Sales
414,11-2007,90.7249,92.16005,Transportation,Sales
419,12-2007,120.15808,89.01592,Transportation,Sales
424,01-2008,147.04393000000002,100.629616,Transportation,Sales
429,02-2008,119.27181,97.75067,Transportation,Sales
434,03-2008,128.0223,95.32088,Transportation,Sales
439,04-2008,103.47461,97.09876,Transportation,Sales
444,05-2008,89.01888,96.781845,Transportation,Sales
449,06-2008,87.25697,95.49399,Transportation,Sales
454,07-2008,100.56093,103.66011,Transportation,Sales
459,08-2008,104.26059000000001,95.46097,Transportation,Sales
464,09-2008,101.52991,100.74889,Transportation,Sales
469,10-2008,88.68096,88.750885,Transportation,Sales
474,11-2008,88.98634,86.832596,Transportation,Sales
479,12-2008,117.33882,90.97438,Transportation,Sales
484,01-2009,153.20126,95.49715,Transportation,Sales
489,02-2009,119.97756,99.16087,Transportation,Sales
494,03-2009,100.6911,94.445854,Transportation,Sales
499,04-2009,89.37951,92.469986,Transportation,Sales
504,05-2009,90.36727,86.31448,Transportation,Sales
509,06-2009,81.39707,94.50569,Transportation,Sales
514,07-2009,81.55156,97.86054,Transportation,Sales
519,08-2009,99.65925999999999,90.98462,Transportation,Sales
524,09-2009,93.09411,101.04068,Transportation,Sales
529,10-2009,83.8663,99.81895,Transportation,Sales
534,11-2009,84.24817000000002,89.23421,Transportation,Sales
539,12-2009,106.07684,86.74282,Transportation,Sales
544,01-2010,145.84288,100.83923,Transportation,Sales
549,02-2010,107.91028,98.92236,Transportation,Sales
554,03-2010,124.65248,92.15238,Transportation,Sales
559,04-2010,84.95357,93.51816,Transportation,Sales
564,05-2010,88.61973,97.68295,Transportation,Sales
569,06-2010,86.92602,96.12591,Transportation,Sales
574,07-2010,100.78618,98.50376,Transportation,Sales
579,08-2010,81.26486,97.77904,Transportation,Sales
584,09-2010,88.49998,96.20398,Transportation,Sales
589,10-2010,93.56813,89.936005,Transportation,Sales
594,11-2010,97.23778,86.641365,Transportation,Sales
599,12-2010,141.2061,98.37982,Transportation,Sales
604,01-2011,123.75137000000001,99.12114,Transportation,Sales
609,02-2011,111.63594,93.72738,Transportation,Sales
614,03-2011,97.53605999999999,90.15292,Transportation,Sales
619,04-2011,82.06888000000001,94.38426,Transportation,Sales
624,05-2011,88.72143,100.20724,Transportation,Sales
629,06-2011,91.73721,101.108574,Transportation,Sales
634,07-2011,100.0164,94.89462,Transportation,Sales
639,08-2011,93.65814999999999,89.42633,Transportation,Sales
644,09-2011,90.34717,98.279175,Transportation,Sales
649,10-2011,72.47726,90.62583,Transportation,Sales
654,11-2011,100.35413,98.13776,Transportation,Sales
659,12-2011,100.50804,97.610115,Transportation,Sales
664,01-2012,106.8917,98.155945,Transportation,Sales
669,02-2012,118.7491,100.27615,Transportation,Sales
674,03-2012,98.4057,102.27378,Transportation,Sales
679,04-2012,91.07751,101.29729,Transportation,Sales
684,05-2012,98.5862,99.316605,Transportation,Sales
689,06-2012,97.72516,101.77776,Transportation,Sales
694,07-2012,105.55848,101.79963,Transportation,Sales
699,08-2012,100.70457,99.50768,Transportation,Sales
704,09-2012,107.78954,108.5325,Transportation,Sales
709,10-2012,89.00502,95.60483,Transportation,Sales
714,11-2012,105.04585,101.512436,Transportation,Sales
719,12-2012,108.21321,94.52224,Transportation,Sales
724,01-2013,118.90745,99.074585,Transportation,Sales
729,02-2013,120.05954,106.295166,Transportation,Sales
734,03-2013,107.11159,98.54737,Transportation,Sales
739,04-2013,114.15472,100.94046,Transportation,Sales
744,05-2013,102.65306,102.13536,Transportation,Sales
749,06-2013,94.6601,93.2352,Transportation,Sales
754,07-2013,103.95173,102.63097,Transportation,Sales
759,08-2013,112.031,98.07223,Transportation,Sales
764,09-2013,104.47304,101.37492,Transportation,Sales
769,10-2013,89.54537,96.82427,Transportation,Sales
774,11-2013,86.32727,91.76261,Transportation,Sales
779,12-2013,130.24613,91.45169,Transportation,Sales
784,01-2014,139.18863,98.0614,Transportation,Sales
789,02-2014,153.6504,105.501396,Transportation,Sales
794,03-2014,102.26781,98.02616,Transportation,Sales
799,04-2014,121.24763,97.50706,Transportation,Sales
804,05-2014,92.01148,99.53556,Transportation,Sales
809,06-2014,91.62856,102.04505,Transportation,Sales
814,07-2014,98.10874,99.491394,Transportation,Sales
819,08-2014,111.72924,104.622856,Transportation,Sales
824,09-2014,85.4835,100.08347,Transportation,Sales
829,10-2014,97.53448,96.32851,Transportation,Sales
834,11-2014,99.71285,88.704346,Transportation,Sales
839,12-2014,103.33871,88.47573,Transportation,Sales
844,01-2015,118.05148,96.24734,Transportation,Sales
849,02-2015,136.69791,93.91222,Transportation,Sales
854,03-2015,100.16566,93.28719,Transportation,Sales
859,04-2015,91.19022,91.29326,Transportation,Sales
864,05-2015,84.53514,96.31912,Transportation,Sales
869,06-2015,88.81106,99.17883,Transportation,Sales
874,07-2015,96.21601000000001,99.97755,Transportation,Sales
879,08-2015,93.26043,96.983154,Transportation,Sales
884,09-2015,93.36330999999998,96.58705,Transportation,Sales
889,10-2015,90.62525000000001,97.05133,Transportation,Sales
894,11-2015,85.87763999999999,90.045586,Transportation,Sales
899,12-2015,99.23992,96.269684,Transportation,Sales
904,01-2016,101.33055999999999,100.03918,Transportation,Sales
909,02-2016,118.8526,93.66338,Transportation,Sales
914,03-2016,93.70234,94.06113,Transportation,Sales
919,04-2016,85.90652,94.74473,Transportation,Sales
924,05-2016,87.17622,97.6043,Transportation,Sales
929,06-2016,90.22570999999999,99.876335,Transportation,Sales
934,07-2016,106.742,106.13157,Transportation,Sales
939,08-2016,92.35447,98.914444,Transportation,Sales
944,09-2016,102.57856,93.68266,Transportation,Sales
949,10-2016,84.97346,89.851654,Transportation,Sales
954,11-2016,79.80428,90.531006,Transportation,Sales
959,12-2016,125.48931,98.95343,Transportation,Sales
964,01-2017,107.52564000000001,95.14477,Transportation,Sales
969,02-2017,98.74932,89.68966,Transportation,Sales
974,03-2017,81.63688,94.1707,Transportation,Sales
979,04-2017,90.36902,98.24586,Transportation,Sales
984,05-2017,90.57685000000001,97.53403,Transportation,Sales
989,06-2017,91.60633,97.87467,Transportation,Sales
994,07-2017,88.59598,103.12796,Transportation,Sales
1034,03-2018,98.81928,103.16407,Transportation,Sales
1039,04-2018,95.07756,101.6407,Transportation,Sales
1044,05-2018,93.5299,98.59906,Transportation,Sales
1049,06-2018,99.84102,102.05448,Transportation,Sales
1054,07-2018,96.95512,101.60084,Transportation,Sales
1059,08-2018,107.91836,99.57703,Transportation,Sales
1064,09-2018,104.3099,107.63744,Transportation,Sales
1069,10-2018,95.07328,106.33027,Transportation,Sales
1074,11-2018,95.46021,92.62149,Transportation,Sales
1079,12-2018,113.79154,87.59934,Transportation,Sales
1084,01-2019,109.42121,88.61808,Transportation,Sales
1089,02-2019,123.1253,94.92534,Transportation,Sales
1094,03-2019,171.85256,89.49184,Transportation,Sales
1099,04-2019,100.39665,100.058205,Transportation,Sales
1104,05-2019,98.98048,99.32385,Transportation,Sales
1109,06-2019,85.70176,96.24124,Transportation,Sales
1114,07-2019,100.86224,100.23037,Transportation,Sales
1119,08-2019,108.33331,94.07546,Transportation,Sales
1124,09-2019,95.02602,96.98477,Transportation,Sales
1129,10-2019,84.87180000000001,93.58257,Transportation,Sales
1134,11-2019,88.53594,89.324135,Transportation,Sales
1139,12-2019,104.75871000000001,94.6359,Transportation,Sales
1144,01-2020,115.49352999999999,101.66839,Transportation,Sales
1149,02-2020,110.10673,93.39277,Transportation,Sales
1154,03-2020,97.90836999999999,84.03648,Transportation,Sales
1159,04-2020,87.23435,74.69045,Transportation,Sales
1164,05-2020,74.61412,76.899734,Transportation,Sales
1169,06-2020,66.35963,82.8736,Transportation,Sales
1174,07-2020,79.04633999999999,77.873856,Transportation,Sales
1179,08-2020,80.96385,74.77258,Transportation,Sales
1184,09-2020,76.10269000000001,74.88976,Transportation,Sales
1189,10-2020,73.18822,85.75935,Transportation,Sales
1194,11-2020,73.59901,94.55724,Transportation,Sales
1199,12-2020,81.25717999999999,95.92318,Transportation,Sales
1204,01-2021,92.43875,99.84995,Transportation,Sales
1209,02-2021,113.60228000000001,86.813835,Transportation,Sales
1214,03-2021,90.1344,79.06699,Transportation,Sales
1219,04-2021,77.61592,79.53812,Transportation,Sales
1224,05-2021,73.73213,87.269356,Transportation,Sales
1229,06-2021,80.68796,91.419334,Transportation,Sales
1234,07-2021,91.3428,85.07566,Transportation,Sales
1239,08-2021,84.99388,81.21725,Transportation,Sales
1244,09-2021,83.80262,85.446495,Transportation,Sales
1249,10-2021,82.08686,82.799736,Transportation,Sales
1254,11-2021,78.33928,99.850365,Transportation,Sales
1259,12-2021,77.76514,95.35715,Transportation,Sales
1264,01-2022,98.52663,99.27525,Transportation,Sales
1269,02-2022,105.55249,86.28722,Transportation,Sales
1274,03-2022,99.79664,70.24802,Transportation,Sales
1279,04-2022,60.44418,81.23501,Transportation,Sales
1284,05-2022,77.85652,82.29084,Transportation,Sales
1289,06-2022,74.87176,85.91736,Transportation,Sales
1294,07-2022,86.28685,78.51895,Transportation,Sales
1299,08-2022,81.58142999999998,83.12835,Transportation,Sales
1304,09-2022,79.28439,80.00729,Transportation,Sales
1309,10-2022,75.37447,93.271545,Transportation,Sales
1314,11-2022,76.44435,100.65481,Transportation,Sales
1319,12-2022,97.38636,98.197754,Transportation,Sales
1324,01-2023,102.25569,85.7651,Transportation,Sales
1329,02-2023,92.17618,80.86085,Transportation,Sales
1334,03-2023,79.97028,68.43054,Transportation,Sales
1339,04-2023,50.045,74.64919,Transportation,Sales
1344,05-2023,67.25198,81.3502,Transportation,Sales
1349,06-2023,74.17736,85.155594,Transportation,Sales
1354,07-2023,85.64373,78.72134,Transportation,Sales
1359,08-2023,65.8298,85.630585,Transportation,Sales
1364,09-2023,90.01996,80.25276,Transportation,Sales
1369,10-2023,75.11816,72.72142,Transportation,Sales
1374,11-2023,68.15496,88.18969,Transportation,Sales
1379,12-2023,74.5329,95.07425,Transportation,Sales
1384,01-2024,77.54918,87.22823,Transportation,Sales
1389,02-2024,49.777060000000006,97.53996,Transportation,Sales
0,10-2024,,97.33706,Transportation,Sales
1,11-2024,,89.64491,Transportation,Sales
2,12-2024,,96.75487,Transportation,Sales
3,01-2025,,97.33706,Transportation,Sales
4,02-2025,,97.33706,Transportation,Sales
5,03-2025,,84.29891,Transportation,Sales
6,04-2025,,99.569786,Transportation,Sales
7,05-2025,,101.56029,Transportation,Sales
8,06-2025,,100.26702,Transportation,Sales
9,07-2025,,98.55275,Transportation,Sales
10,08-2025,,101.657524,Transportation,Sales
11,09-2025,,97.948494,Transportation,Sales
12,10-2025,,101.31182,Transportation,Sales
13,11-2025,,103.65437,Transportation,Sales
14,12-2025,,103.48889,Transportation,Sales
15,01-2026,,101.44349,Transportation,Sales
16,02-2026,,103.7891,Transportation,Sales
17,03-2026,,102.20607,Transportation,Sales
18,04-2026,,101.29065,Transportation,Sales
19,05-2026,,102.418594,Transportation,Sales
20,06-2026,,103.60928,Transportation,Sales
21,07-2026,,101.79377,Transportation,Sales
22,08-2026,,102.537796,Transportation,Sales
23,09-2026,,103.33418,Transportation,Sales
124,01-2003,5.3873,5.6050963,Transportation,Revenue
129,02-2003,4.64726,5.7462716,Transportation,Revenue
134,03-2003,5.6754,5.413044,Transportation,Revenue
139,04-2003,4.39976,5.425081,Transportation,Revenue
144,05-2003,5.40657,5.5849204,Transportation,Revenue
149,06-2003,5.532220000000001,5.83175,Transportation,Revenue
154,07-2003,5.38434,5.678828,Transportation,Revenue
159,08-2003,5.35252,5.327889,Transportation,Revenue
164,09-2003,5.14728,6.1531672,Transportation,Revenue
169,10-2003,5.271730000000001,5.412873,Transportation,Revenue
